OCC_CODE,Occupation title,Level,Employed,Employment relative standard error,Hourly mean wage,Annual Mean wage,Mean wage RSE,Hourly Median wage,Annual median wage
00-0000,All Occupations,total,"139,099,570",0.1,27.07,"56,310",0.1,20.17,"41,950"
11-0000,Management Occupations,major,"7,947,300",0.2,60.81,"126,480",0.2,52.77,"109,760"
11-1000,Top Executives,minor,"2,601,070",0.4,62.46,"129,920",0.2,51.05,"106,180"
11-1010,Chief Executives,broad,"202,360",1,95.12,"197,840",0.5,89.4,"185,950"
11-1011,Chief Executives,detailed,"202,360",1,95.12,"197,840",0.5,89.4,"185,950"
11-1020,General and Operations Managers,broad,"2,347,420",0.4,60.45,"125,740",0.2,49.83,"103,650"
11-1021,General and Operations Managers,detailed,"2,347,420",0.4,60.45,"125,740",0.2,49.83,"103,650"
11-1030,Legislators,broad,"51,290",2.5,*,"53,560",1.6,*,"33,200"
11-1031,Legislators,detailed,"51,290",2.5,*,"53,560",1.6,*,"33,200"
Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"763,970",0.6,71.51,"148,740",0.3,64.48,"134,120"
Nov-10,Advertising and Promotions Managers,broad,"22,490",3.2,70.94,"147,560",1.4,64.16,"133,460"
Nov-11,Advertising and Promotions Managers,detailed,"22,490",3.2,70.94,"147,560",1.4,64.16,"133,460"
Nov-20,Marketing and Sales Managers,broad,"660,380",0.6,72.31,"150,400",0.3,65.55,"136,350"
Nov-21,Marketing Managers,detailed,"270,200",1,74.27,"154,470",0.4,68.35,"142,170"
Nov-22,Sales Managers,detailed,"390,170",0.7,70.95,"147,580",0.3,63.6,"132,290"
Nov-30,Public Relations and Fundraising Managers,broad,"81,110",1.4,65.18,"135,580",0.8,56.94,"118,430"
Nov-30,Public Relations and Fundraising Managers,detailed,"81,110",1.4,65.18,"135,580",0.8,56.94,"118,430"
Nov-00,Operations Specialties Managers,minor,"2,012,370",0.3,66.63,"138,590",0.2,60.12,"125,040"
Nov-10,Administrative Services and Facilities Managers,broad,"307,620",0.6,51.98,"108,120",0.3,47.54,"98,890"
Nov-10,Administrative Services and Facilities Managers,detailed,"307,620",0.6,51.98,"108,120",0.3,47.54,"98,890"
Nov-20,Computer and Information Systems Managers,broad,"457,290",0.7,77.76,"161,730",0.3,72.67,"151,150"
Nov-21,Computer and Information Systems Managers,detailed,"457,290",0.7,77.76,"161,730",0.3,72.67,"151,150"
Nov-30,Financial Managers,broad,"653,080",0.5,72.84,"151,510",0.3,64.51,"134,180"
Nov-31,Financial Managers,detailed,"653,080",0.5,72.84,"151,510",0.3,64.51,"134,180"
Nov-50,Industrial Production Managers,broad,"179,570",0.8,56.82,"118,190",0.3,52.3,"108,790"
Nov-51,Industrial Production Managers,detailed,"179,570",0.8,56.82,"118,190",0.3,52.3,"108,790"
Nov-60,Purchasing Managers,broad,"70,960",0.9,63.78,"132,660",0.4,60.55,"125,940"
Nov-61,Purchasing Managers,detailed,"70,960",0.9,63.78,"132,660",0.4,60.55,"125,940"
Nov-70,"Transportation, Storage, and Distribution Managers",broad,"132,210",1,50.53,"105,100",0.4,46.34,"96,390"
Nov-71,"Transportation, Storage, and Distribution Managers",detailed,"132,210",1,50.53,"105,100",0.4,46.34,"96,390"
Nov-10,Compensation and Benefits Managers,broad,"16,340",2.1,65.94,"137,160",1,60.16,"125,130"
Nov-11,Compensation and Benefits Managers,detailed,"16,340",2.1,65.94,"137,160",1,60.16,"125,130"
Nov-20,Human Resources Managers,broad,"156,600",0.6,64.7,"134,580",0.3,58.28,"121,220"
Nov-21,Human Resources Managers,detailed,"156,600",0.6,64.7,"134,580",0.3,58.28,"121,220"
Nov-30,Training and Development Managers,broad,"38,710",1.3,60.54,"125,920",0.5,55.6,"115,640"
Nov-31,Training and Development Managers,detailed,"38,710",1.3,60.54,"125,920",0.5,55.6,"115,640"
Nov-00,Other Management Occupations,minor,"2,569,880",0.3,51.4,"106,910",0.2,45.76,"95,180"
Nov-10,"Farmers, Ranchers, and Other Agricultural Managers",broad,"5,670",13.5,36.93,"76,810",6.2,32.73,"68,090"
Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"5,670",13.5,36.93,"76,810",6.2,32.73,"68,090"
Nov-20,Construction Managers,broad,"285,640",1,51.57,"107,260",0.5,46.72,"97,180"
Nov-21,Construction Managers,detailed,"285,640",1,51.57,"107,260",0.5,46.72,"97,180"
Nov-30,Education and Childcare Administrators,broad,"493,350",0.6,48.64,"101,160",0.5,44.94,"93,470"
Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,"46,410",2.1,26.41,"54,940",1.2,23.63,"49,160"
Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,"262,480",0.8,*,"103,010",0.6,*,"98,490"
Nov-33,"Education Administrators, Postsecondary",detailed,"140,880",1.2,55.38,"115,200",0.8,46.87,"97,500"
Nov-39,"Education Administrators, All Other",detailed,"43,580",2.5,45.11,"93,830",0.8,42.11,"87,580"
Nov-40,Architectural and Engineering Managers,broad,"195,900",1.2,76.01,"158,100",0.5,71.89,"149,530"
Nov-41,Architectural and Engineering Managers,detailed,"195,900",1.2,76.01,"158,100",0.5,71.89,"149,530"
Nov-50,Food Service Managers,broad,"197,010",1.3,29.33,"61,000",0.6,27.21,"56,590"
Nov-51,Food Service Managers,detailed,"197,010",1.3,29.33,"61,000",0.6,27.21,"56,590"
Nov-71,Gambling Managers,detailed,"3,240",3.9,41.08,"85,440",1.2,36.28,"75,470"
Nov-80,Lodging Managers,broad,"31,790",3,31.38,"65,270",1.3,27.25,"56,670"
Nov-81,Lodging Managers,detailed,"31,790",3,31.38,"65,270",1.3,27.25,"56,670"
Nov-10,Medical and Health Services Managers,broad,"402,540",0.7,57.12,"118,800",0.4,50.13,"104,280"
Nov-11,Medical and Health Services Managers,detailed,"402,540",0.7,57.12,"118,800",0.4,50.13,"104,280"
Nov-20,Natural Sciences Managers,broad,"75,870",4.9,74.49,"154,930",1.9,66.32,"137,940"
Nov-21,Natural Sciences Managers,detailed,"75,870",4.9,74.49,"154,930",1.9,66.32,"137,940"
Nov-30,Postmasters and Mail Superintendents,broad,"13,880",0.3,38.3,"79,660",0.1,37.53,"78,060"
Nov-31,Postmasters and Mail Superintendents,detailed,"13,880",0.3,38.3,"79,660",0.1,37.53,"78,060"
Nov-40,"Property, Real Estate, and Community Association Managers",broad,"219,800",1.4,35.2,"73,210",1,28.68,"59,660"
Nov-41,"Property, Real Estate, and Community Association Managers",detailed,"219,800",1.4,35.2,"73,210",1,28.68,"59,660"
Nov-50,Social and Community Service Managers,broad,"155,800",1.5,36.13,"75,140",0.6,33.46,"69,600"
Nov-51,Social and Community Service Managers,detailed,"155,800",1.5,36.13,"75,140",0.6,33.46,"69,600"
Nov-60,Emergency Management Directors,broad,"10,210",1.5,40.53,"84,310",0.9,36.66,"76,250"
Nov-61,Emergency Management Directors,detailed,"10,210",1.5,40.53,"84,310",0.9,36.66,"76,250"
Nov-71,Funeral Home Managers,detailed,"10,010",3.9,44.01,"91,530",4,35.67,"74,200"
Nov-98,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,"469,160",0.6,59.61,"123,980",0.3,55.94,"116,350"
13-0000,Business and Financial Operations Occupations,major,"8,387,490",0.2,38.79,"80,680",0.2,34.73,"72,250"
13-1000,Business Operations Specialists,minor,"5,632,020",0.3,37.66,"78,320",0.2,34.35,"71,450"
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"16,240",6.9,47.15,"98,070",4.7,36.26,"75,420"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"16,240",6.9,47.15,"98,070",4.7,36.26,"75,420"
13-1020,Buyers and Purchasing Agents,broad,"419,920",0.7,34.8,"72,370",0.3,32.06,"66,690"
13-1020,Buyers and Purchasing Agents,detailed,"419,920",0.7,34.8,"72,370",0.3,32.06,"66,690"
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"300,380",1.4,33.92,"70,560",0.4,32.76,"68,130"
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"287,150",1.4,33.97,"70,650",0.4,32.82,"68,270"
13-1032,"Insurance Appraisers, Auto Damage",detailed,"13,220",6.6,32.95,"68,540",0.9,31.52,"65,550"
13-1040,Compliance Officers,broad,"327,360",0.6,36.35,"75,620",0.3,34.18,"71,100"
13-1041,Compliance Officers,detailed,"327,360",0.6,36.35,"75,620",0.3,34.18,"71,100"
13-1050,Cost Estimators,broad,"199,360",1,35.08,"72,960",0.4,32.03,"66,610"
13-1051,Cost Estimators,detailed,"199,360",1,35.08,"72,960",0.4,32.03,"66,610"
13-1070,Human Resources Workers,broad,"718,120",0.5,33.63,"69,950",0.3,30.81,"64,070"
13-1071,Human Resources Specialists,detailed,"647,810",0.5,33.38,"69,430",0.2,30.52,"63,490"
13-1074,Farm Labor Contractors,detailed,**,**,24.18,"50,300",4.7,22.97,"47,780"
13-1075,Labor Relations Specialists,detailed,"70,050",2,36,"74,870",1.5,35.21,"73,240"
13-1081,Logisticians,detailed,"184,230",1,38.38,"79,830",0.5,36.67,"76,270"
13-1110,Management Analysts,broad,"734,000",0.9,46.91,"97,580",0.4,42.14,"87,660"
13-1111,Management Analysts,detailed,"734,000",0.9,46.91,"97,580",0.4,42.14,"87,660"
13-1120,"Meeting, Convention, and Event Planners",broad,"109,800",1.7,26.87,"55,890",0.8,24.79,"51,560"
13-1121,"Meeting, Convention, and Event Planners",detailed,"109,800",1.7,26.87,"55,890",0.8,24.79,"51,560"
13-1130,Fundraisers,broad,"82,140",1.8,31.03,"64,550",0.7,28.66,"59,610"
13-1131,Fundraisers,detailed,"82,140",1.8,31.03,"64,550",0.7,28.66,"59,610"
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"87,870",1.9,34.91,"72,610",0.6,32.3,"67,190"
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"87,870",1.9,34.91,"72,610",0.6,32.3,"67,190"
13-1150,Training and Development Specialists,broad,"318,040",0.7,32.43,"67,440",0.3,30.14,"62,700"
